BinCenter_HU,PixelCount,MeanPred_HU
-1011.5,108326790.0,-988.0791992092561
-986.5,63773187.0,-983.5295277285317
-961.5,34992110.0,-955.3963031424772
-936.5,41905467.0,-936.7996189911822
-911.5,38080256.0,-919.0974298494028
-886.5,23771967.0,-903.9247410522456
-861.5,17979050.0,-888.5655667158755
-836.5,12931271.0,-872.3052190518523
-811.5,8962811.0,-854.3284945064833
-786.5,6153836.0,-834.3285010609591
-761.5,4301469.0,-811.585132837364
-736.5,3137777.0,-785.9864452949577
-711.5,2407275.0,-758.1103084918403
-686.5,1939834.0,-729.0338756233773
-661.5,1624043.0,-699.8732060936549
-636.5,1404542.0,-671.3371990897642
-611.5,1239695.0,-643.3875472520459
-586.5,1116927.0,-616.2438879900429
-561.5,1023417.0,-589.1470748631517
-536.5,943062.0,-562.4198293668014
-511.5,882355.0,-534.6199985750774
-486.5,831351.0,-505.7156756511677
-461.5,797400.0,-475.36264508471504
-436.5,779854.0,-442.4748683419616
-411.5,781389.0,-406.5498845821133
-386.5,809733.0,-366.3609586150421
-361.5,875953.0,-323.232518041536
-336.5,995447.0,-277.9404213377772
-311.5,1204919.0,-233.5207322067473
-286.5,1555477.0,-193.93188104884098
-261.5,2132879.0,-162.3609110572748
-236.5,3062338.0,-139.31587777079292
-211.5,4509843.0,-123.53362003472118
-186.5,6626563.0,-112.47722025590599
-161.5,9449163.0,-103.87963889676264
-136.5,15690863.0,-99.91047232501812
-111.5,32972315.0,-97.21012173762557
-86.5,29782682.0,-80.0041748468574
-61.5,22497902.0,-55.427351290652126
-36.5,21385066.0,-32.319220165793546
-11.5,22037069.0,-10.05188626309761
13.5,23720463.0,10.482400233408443
38.5,26446250.0,29.350633684602577
63.5,23003218.0,43.45449202242777
88.5,16255628.0,56.63641042391259
113.5,12750198.0,72.78084679823931
138.5,8213242.0,85.76685389134484
163.5,5789757.0,108.26957426124524
188.5,4161909.0,135.20036831821866
213.5,2918187.0,164.11426373102486
238.5,2167580.0,196.98760557078856
263.5,1717158.0,231.59288791249605
288.5,1427374.0,265.03045991339025
313.5,1215060.0,296.14358993569704
338.5,1040238.0,325.08148741646517
363.5,889650.0,352.8054257498697
388.5,763529.0,379.8937615056852
413.5,660387.0,406.94093833894124
438.5,575677.0,433.58891377263916
463.5,502491.0,460.6850927934841
488.5,448281.0,487.0295540915625
513.5,404719.0,514.0194338141418
538.5,367554.0,539.91621064029
563.5,335258.0,565.6666763367836
588.5,306823.0,591.1629152669127
613.5,282023.0,616.6657480003086
638.5,260259.0,642.493400622598
663.5,237504.0,666.5207379808069
688.5,219030.0,691.7287872516482
713.5,203713.0,716.367585369893
738.5,187653.0,740.6328172711718
763.5,174636.0,765.7838718611163
788.5,162293.0,790.8273940365633
813.5,150501.0,815.3383680169205
838.5,139620.0,840.3487568648595
863.5,129132.0,864.3433589807095
888.5,120565.0,887.8444333472098
913.5,112535.0,912.865064846579
938.5,104543.0,937.1312699166
963.5,96847.0,962.1020084366017
988.5,90013.0,985.653981385089
1013.5,84059.0,1009.7674718146664
1038.5,77531.0,1034.5228593345612
1063.5,71673.0,1058.3162989707473
1088.5,65934.0,1081.7477790753142
1113.5,60569.0,1106.5952831796658
1138.5,54945.0,1130.5427514472924
1163.5,49769.0,1154.8259087673528
1188.5,44958.0,1179.045744668494
1213.5,40395.0,1201.9567010240428
1238.5,35524.0,1224.7674628344625
1263.5,31649.0,1248.4762758011952
1288.5,27130.0,1271.4638244291448
1313.5,23303.0,1294.574989469779
1338.5,19604.0,1315.907703330385
1363.5,16647.0,1340.8152553191476
1388.5,14391.0,1361.7095988829417
1413.5,12232.0,1388.7164368414271
1438.5,10415.0,1411.6437750000937
1463.5,8728.0,1435.4832715839557
1488.5,7482.0,1462.38889788944
1513.5,5830.0,1487.4882207383014
1538.5,4541.0,1510.5201343703548
1563.5,3215.0,1531.7031180516742
1588.5,2168.0,1553.1631094731968
1613.5,1414.0,1565.8290159233557
1638.5,1030.0,1591.4493708045736
1663.5,808.0,1618.8888882174351
1688.5,678.0,1648.0564141287564
1713.5,496.0,1674.340607673891
1738.5,368.0,1711.5733489990234
1763.5,194.0,1666.7325835867027
1788.5,123.0,1676.711640148628
1813.5,65.0,1664.8298903245193
1838.5,44.0,1719.3971585360441
1863.5,1131.0,1887.5045142270737
