PatientID,BodyType,NumSlices,Threshold_HU,NumPixels,CorrectionSupportAt130_Count,MeanCorrectionAt130_HU,MinCorrectionAt130_HU,MaxCorrectionAt130_HU,FlipUp_Count,FlipUp_pct,FlipUp_MeanDistance_HU,FlipUp_Within1HU_pct,FlipUp_Within2HU_pct,FlipUp_Within5HU_pct,FlipUp_Within10HU_pct,FlipUp_Within20HU_pct,FlipDown_Count,FlipDown_pct,FlipDown_MeanDistance_HU,FlipDown_Within1HU_pct,FlipDown_Within2HU_pct,FlipDown_Within5HU_pct,FlipDown_Within10HU_pct,FlipDown_Within20HU_pct,NewDisagree_Count,NewDisagree_pct,NewDisagree_MeanDistance_HU,NewDisagree_Within1HU_pct,NewDisagree_Within2HU_pct,NewDisagree_Within5HU_pct,NewDisagree_Within10HU_pct,NewDisagree_Within20HU_pct,ResolvedDisagree_Count,ResolvedDisagree_pct,ResolvedDisagree_MeanDistance_HU,ResolvedDisagree_Within1HU_pct,ResolvedDisagree_Within2HU_pct,ResolvedDisagree_Within5HU_pct,ResolvedDisagree_Within10HU_pct,ResolvedDisagree_Within20HU_pct
C121,Chest,392,130.0,102760448,12858,21.406873381699683,2.093017578125,41.11098098754883,319775,0.3111849025804169,13.986110357517616,4.072863732311782,8.232976311469002,20.632945039480884,39.18004847158158,71.4893284340552,0,0.0,,,,,,,186787,0.1817693515699737,14.63614683692396,3.6099942715499473,7.377387077259124,18.85516658011532,36.33282830175548,68.698035730538,132988,0.12941555101044325,13.07310810089685,4.722982524739074,9.434685836316058,23.129906457725507,43.17908382711222,75.40981141155594
C135,Chest,355,130.0,93061120,15107,25.2996910633949,12.862079620361328,54.17109298706055,471108,0.5062350420884683,18.44206371041944,3.231955305365224,6.454783191964475,16.38605160600117,32.73134822588451,58.185171977550795,0,0.0,,,,,,,271816,0.292083310409331,19.788548953748528,2.7411925714453895,5.528004238161109,14.203358154045384,29.047591017452984,53.56012891073373,199292,0.2141517316791373,16.605581220900895,3.901310639664412,7.718824639222849,19.363045179936975,37.75565501876643,64.49330630431729
C170,Chest,359,130.0,94109696,15574,23.7686784012994,6.6246337890625,43.16649627685547,465071,0.4941796857998564,16.015203436658563,3.3622823181836754,6.80326229758467,17.159100438427682,33.58820481173842,63.17142973868506,0,0.0,,,,,,,273416,0.29052904389362816,16.94918589518453,2.838897504169471,5.802513386195394,15.013020452350997,30.004096322087953,59.30669748661381,191655,0.20365064190622822,14.682778998257978,4.108945761915943,8.230935796091936,20.220709086640056,38.70131225378936,68.6848764707417
C249,Chest,350,130.0,91750400,8633,15.082732442410427,3.5669848918914795,35.91587829589844,142903,0.15575190952845983,11.545407684997373,6.214705079669426,12.408416898175686,28.127471081782748,49.475518358606884,81.72116750523082,0,0.0,,,,,,,79969,0.08715929303850446,12.320116240172462,5.574660180820068,11.041778689242081,25.436106491265367,45.74897772886994,78.95059335492503,62934,0.06859261648995536,10.56100079718311,7.027997584771348,14.144977277783074,31.547335303651444,54.21076047923221,85.24168176184574
C280,Chest,369,130.0,96731136,13359,44.22606881109752,25.041200637817383,57.724395751953125,781881,0.8083033367870299,22.961669573718698,1.7372208814384797,3.4977189623484906,8.884600086202376,18.505885166668584,40.83306794768002,0,0.0,,,,,,,478684,0.49486031054158197,24.00835773365917,1.446883539036191,2.926565333288767,7.547359009283786,16.074905365543867,37.193012509296324,303197,0.313443026245448,21.309169980720558,2.1956021992302035,4.399449862630567,10.995821198758563,22.34388862686636,46.57994637150104
L006,Abdomen,215,130.0,56360960,18446,0.5221312650587726,0.18370334804058075,2.0078532695770264,9676,0.017167911973110465,1.6588694023267945,71.65150888797024,80.61182306738321,89.52046300124019,95.72137246796197,99.72095907399752,0,0.0,,,,,,,4835,0.008578633153161336,1.4924615333344105,74.72595656670114,83.66080661840745,91.02378490175802,95.90486039296795,99.68976215098242,4841,0.008589278819949128,1.825071023185744,68.58087172071886,77.56661846725883,88.01900433794671,95.53811196033877,99.75211733112994
L107,Abdomen,202,130.0,52953088,17789,2.297944598250475,0.6798507571220398,6.694815158843994,40306,0.07611642969716893,2.3457701173910213,43.189599563340444,71.9198134272813,88.68158586810897,95.28606162854166,99.17133925470154,0,0.0,,,,,,,20863,0.03939902428353187,2.483830109907866,41.68623879595456,70.55073575228874,87.93557973445813,94.68436945789196,98.97426065283037,19443,0.036717405413637064,2.1976270518209478,44.80275677621766,73.38888031682353,89.48207581134598,95.9316977832639,99.3828112945533
L220,Abdomen,156,130.0,40894464,20120,1.1240339472252971,0.42475762963294983,3.1905083656311035,22674,0.055445157564603366,1.097164377813313,73.08811854988092,89.77683690570697,95.99100291082297,98.67689865043663,99.90738290553057,0,0.0,,,,,,,11998,0.029338934482672274,1.1290549767734726,71.10351725287548,89.54825804300717,96.19936656109351,98.59143190531755,99.86664444074012,10676,0.026106223081931088,1.0613247931070566,75.31847133757962,90.03372049456725,95.75683776695392,98.77294866991383,99.9531659797677
L221,Abdomen,99,130.0,25952256,10389,1.0634703161523917,0.5066512227058411,3.8864364624023438,10768,0.04149157591540404,1.6412157055881722,72.13967310549778,82.79160475482912,91.84621099554235,96.10884101040119,99.35921248142645,0,0.0,,,,,,,5133,0.01977862733783144,2.023657597553514,66.62770309760374,78.55055523085915,89.36294564582116,94.35028248587571,99.12331969608417,5635,0.0217129485775726,1.2928440584793701,77.1606033717835,86.65483584738243,94.10825199645076,97.71073646850044,99.57409050576753
L241,Abdomen,155,130.0,40632320,19251,5.291609417252166,1.7812042236328125,11.26457405090332,99390,0.2446082330519153,3.562943471779417,19.38927457490693,38.124559814870715,83.0707314619177,94.51755709829963,98.61354260992051,0,0.0,,,,,,,54965,0.13527408722908266,3.926598013988305,17.421995815518965,34.889475120531245,79.7653051942145,93.11925770945147,98.14427362867279,44425,0.10933414582283266,3.1130105108240715,21.823297692740574,42.12718064153067,87.160382667417,96.24760832864378,99.19414743950479
